"Espécie" "Domínio" "Mínimo.opt" "Máximo.opt" "Classificação" "Sal.é.NaCl." "Unidade"
"275" "Halorussus amylolyticus" "A" 2 2 "No Class" "s" "m"
"276" "Haloparvum alkalitolerans" "A" 2.1 2.6 "No Class" "s" "m"
"277" "Halopiger thermotolerans" "A" 2.5 2.5 "No Class" "s" "m"
"278" "Halobacterium litoreum" "A" 3.9 3.9 "No Class" "s" "m"
"279" "Natronoarchaeum persicum" "A" 3.5 3.5 "No Class" "s" "m"
"280" "Salinarchaeum chitinilyticum" "A" 2.6 3.1 "No Class" "s" "m"
"281" "Salinirussus salinus" "A" 3.4 3.4 "No Class" "s" "m"
"282" "Salinirubellus salinus" "A" 2.1 2.1 "No Class" "s" "m"
"283" "Halorussus litoreus" "A" 3.1 3.1 "No Class" "s" "m"
"284" "Halostella limicola" "A" 3.1 3.1 "No Class" "s" "m"
"285" "Methanogenium frigidum" "A" 0.35 0.6 "Slight" "s" "m"
"286" "Alcanivorax jadensis" "B" 0.51 0.51 "Slight" "s" "m"
"287" "Dethiosulfovibrio russensis" "B" 0.34 0.34 "Slight" "s" "m"
"288" "Halomonas halocynthiae" "B" 0.51 1.03 "Slight" "s" "m"
"290" "Paraglaciecola mesophila" "B" 0.34 0.86 "Slight" "s" "m"
"291" "Erythrobacter flavus" "B" 0.34 0.86 "Slight" "s" "m"
"292" "Shewanella gaetbuli" "B" 0.34 0.34 "Slight" "s" "m"
"293" "Bacillus hwajinpoensis" "B" 0.34 0.86 "Slight" "s" "m"
"294" "Alteromonas litorea" "B" 0.34 0.86 "Slight" "s" "m"
"295" "Microbulbifer maritimus" "B" 0.34 0.68 "Slight" "s" "m"
"296" "Marinobacter flavimaris" "B" 0.34 1.03 "Slight" "s" "m"
"297" "Marinobacter daepoensis" "B" 0.34 1.03 "Slight" "s" "m"
"298" "Pseudoalteromonas aliena" "B" 0.51 1.03 "Slight" "s" "m"
"299" "Shewanella marisflavi" "B" 0.34 0.51 "Slight" "s" "m"
"300" "Shewanella aquimarina" "B" 0.34 0.51 "Slight" "s" "m"
"301" "Porphyrobacter donghaensis" "B" 0.34 0.34 "Slight" "s" "m"
"302" "Erythrobacter aquimaris" "B" 0.34 0.17 "Slight" "s" "m"
"303" "Halolactibacillus halophilus" "B" 0.34 0.51 "Slight" "s" "m"
"304" "Erythrobacter seohaensis" "B" 0.34 0.51 "Slight" "s" "m"
"305" " Erythrobacter gaetbuli" "B" 0.34 0.51 "Slight" "s" "m"
"306" "Sphingopyxis flavimaris" "B" 0.34 0.51 "Slight" "s" "m"
"307" "Erythrobacter luteolus" "B" 0.34 0.34 "Slight" "s" "m"
"308" "Sphingopyxis baekryungensis" "B" 0.34 0.34 "Slight" "s" "m"
"309" "Photobacterium aplysiae" "B" 0.51 0.51 "Slight" "s" "m"
"310" "Methanococcoides alaskense" "A" 0.3 0.4 "Slight" "s" "m"
"311" "Psychrobacter aquimaris " "B" 0.34 0.51 "Slight" "s" "m"
"312" "Psychrobacter namhaensis" "B" 0.34 0.51 "Slight" "s" "m"
"313" "Photobacterium frigidiphilum" "B" 0.26 0.26 "Slight" "s" "m"
"314" "Virgibacillus dokdonensis" "B" 0.68 0.86 "Slight" "s" "m"
"315" "Maribacter dokdonensis" "B" 0.34 0.51 "Slight" "s" "m"
"316" "Psychrobacter celer" "B" 0.34 0.51 "Slight" "s" "m"
"317" "Bacillus litoralis" "B" 0.34 0.51 "Slight" "s" "m"
"318" "Jannaschia seosinensis" "B" 0.86 1.71 "Slight" "s" "m"
"319" "Methanosarcina baltica" "A" 0.3 0.4 "Slight" "s" "m"
"320" "Muricauda flavescens" "B" 0.34 0.34 "Slight" "s" "m"
"321" "Dokdonia donghensis " "B" 0.34 0.34 "Slight" "s" "m"
"322" "Nesterenkonia jeotgaki" "B" 0.34 0.86 "Slight" "s" "m"
"323" "Rhodovulum marinum" "B" 0.08 0.51 "Slight" "s" "m"
"324" "Polaribacter dokdonensis" "B" 0.34 0.34 "Slight" "s" "m"
"325" "Porphyrobacter dokdonensis" "B" 0.34 0.34 "Slight" "s" "m"
"326" "Pelagibaca bermudensis" "B" 0.51 0.51 "Slight" "s" "m"
"328" "Muricauda aquimarina" "B" 0.34 0.34 "Slight" "s" "m"
"329" "Donghicola eburneus" "B" 0.34 0.34 "Slight" "s" "m"
"330" "Methylomicrobium japanense" "B" 0.4 0.8 "Slight" "s" "m"
"331" "Methanohalophilus levihalophilus" "A" 0.35 0.4 "Slight" "s" "m"
"332" "Methanocalculus halotolerans" "A" 0.86 0.86 "Tolerant" "s" "m"
"333" "Bacillus alkalidiazotrophicus" "B" 0.2 0.4 "Tolerant" "s" "m"
"335" "Natranaerobaculum magadiense" "B" 1.2 1.4 "Tolerant" "s" "m"
"336" "Methylobrevis pamukkalensis" "B" 0.085 0.085 "Tolerant" "s" "m"
"338" "Acidihalobacter aeolianus" "B" 0.428 0.428 "Tolerant" "s" "m"
"339" "Acidihalobacter ferrooxydans" "B" 0.428 0.428 "Tolerant" "s" "m"
"340" "Micrococcus halodurans" "B" 0 2.57 "No Class" "s" "m"
"341" "Halobacterium volcanii" "A" 1.7 2.5 "No Class" "s" "m"
"342" "Bacillus globisporus marinus" "B" 0.513347022587269 0.598904859685147 "No Class" "s" "p"
"344" "Vibrio alginolyticus" "B" 2.22 2.22 "No Class" "s" "m"
"346" "Methanohalophilus zhilinae" "B" 0.7 0.7 "No Class" "s" "m"
"349" "Salimicrobium halophilum" "B" 2.568 2.568 "No Class" "s" "m"
"350" "Ectothiorhodospira mobilis" "B" 0.86 0.86 "No Class" "s" "m"
"351" "Marinococcus hispanicus" "B" 1.71 1.71 "No Class" "s" "m"
"353" "Volcaniella eurihalina" "B" 1.28 1.28 "No Class" "s" "m"
"356" "Desulfohalobium retbaense" "B" 1.71 1.71 "No Class" "s" "m"
"357" "Methanohalophilus portucalensis" "B" 2 2 "No Class" "s" "m"
"359" "Saccharomonospora halophila" "B" 1.71 2.57 "No Class" "s" "m"
"360" "Halocccus salifodinae" "A" 3.42 4.28 "No Class" "s" "m"
"361" "Photobacterium histaminium" "B" 0.34 0.34 "No Class" "s" "m"
"362" "Haloincola saccharolytica" "B" 1.28 2.14 "No Class" "s" "m"
"364" "Haloanaerobium alcaliphilum" "B" 1.71 1.71 "No Class" "s" "m"
"365" "Desulfovibrio gabonensis" "B" 0.86 1.03 "No Class" "s" "m"
"366" "Thermonema rossianum" "B" 0.51 0.51 "No Class" "s" "m"
"367" "Dethiosulfovibrio peptidovorans" "B" 0.51 0.51 "No Class" "s" "m"
"368" "Desulfovibrio profundus " "B" 0.1 1.37 "No Class" "s" "m"
"369" "Cobetia marina" "B" 1.369 1.369 "No Class" "s" "m"
"370" "Marinospirillum megaterium" "B" 0.51 0.51 "No Class" "s" "m"
"371" "Desulfotomaculum halophilum" "B" 1.03 1.03 "No Class" "s" "m"
"374" "Haloanaerobiurn kushneri" "B" 2.05 2.05 "No Class" "s" "m"
"375" "Haloanaerobacter salinarus" "B" 2.39 2.57 "No Class" "s" "m"
"376" "Marinobacter aquaeolei" "B" 0.85 0.85 "No Class" "s" "m"
"377" "Shewanella oneidensis" "B" 0 0 "No Class" "s" "m"
"378" "Desulfocella halophila" "B" 0.68 0.86 "No Class" "s" "m"
"379" "Thermohalobacter barrensis" "B" 0.86 0.86 "No Class" "s" "m"
"380" "Haloanaerobium fermentans" "B" 1.71 1.71 "No Class" "s" "m"
"381" "Methylarcula marina" "B" 0.51 1.37 "No Class" "s" "m"
"382" "Methylarcula terricola" "B" 0.51 1.02 "No Class" "s" "m"
