Espécie	Domínio	Mínimo opt	Máximo opt	Mínimo sup	Máximo sup	Classificação	Sal é NaCl?	Unidade	Checado?	Referência	journal	Ano
Salinicola salarius	B	1,712	3,425	0	4,281	Moderate	s	m		Kim et al. 2007 / De la Haba et al 2010	Micro Society	2007
Halomonas denitrificans	B	1,369	1,712	0,343	3,425	Moderate	s	m		Kim et al. 2007	Micro Society	2007
Petrotoga halophila	B	0,68	1,03	0,08	1,54	Moderate	s	m	Calor	Miranda-Tello et al. 2007	Micro Society	2007
Marinobacterium halophilum	B	0,51	2,05	0,17	2,57	Moderate	s	m		Chang et al. 2007	Micro Society	2007
Methylohalomonas lacus	B	2	2	0,5	4	Moderate	s	m		Sorokin et al 2007	Micro Society	2007
Thiohalomonas denitrificans	B	1,5	2	1	3	Moderate	s	m		Sorokin et al  2007	Micro Society	2007
Thiohalomonas nitratireducens	B	1	1	1	2,5	Moderate	s	m		Sorokin et al 2007	Micro Society	2007
Halomonas caseinilytica	B	0,514	0,856	0,086	2,568	Moderate	s	m		Wu et al. 2008	Micro Society	2008
Bacillus halochares	B	2,5	2,5	1	4	Moderate	s	m		Pappa et al 2010	Micro Society	2010
Thiohalobacter thiocyanaticus	B	0,5	0,5	0,2	3	Moderate	s	m		Sorokin et al 2010	Micro Society	2010
Amphibacillus cookii	B			0,1	4,3	Moderate	Na+	m	Alkalithermo	Pugin et al 2012	Micro Society	2012
Desulfonatronobacter acidivorans	B	0,6	0,6	0,2	1,5	Moderate	Na+	m	Alkali	Sorokin et al 2012	Micro Society	2012
Desulfobulbus alkaliphilus	B	0,2	0,2	0,1	1,5	Moderate	Na+	m	Alkali	Sorokin et al 2012	Micro Society	2012
Spiribacter roseus	B	0,8	1	0,8	2,2	Moderate	s	m		León et al 2016 / León et al 2017 / León et al 2020	Micro Society	2016
Ruegeria profundi	B	1	1,5	0,5	1,9	Moderate	s	m		Zhang et al 2017	Micro Society	2017
Ruegeria marisrubri	B	1,5	2	0,5	2,6	Moderate	s	m		Zhang et al 2017	Micro Society	2017
Chromohalobacter canadensis	B	1,369	1,369	0,514	4,281	Moderate	s	m		Ventosa et al. 1998 / Arahal et al. 2001		
Chromohalobacter israelensis	B	1,369	1,369	0,599	3,425	Moderate	s	m		Ventosa et al. 1998 / Arahal et al. 2002		
Nesterenkonia halobia	B	1,712	1,712	0,514	4,281	Moderate	s	m		Ventosa et al. 1998		
Bacillus chagannorensis	B	1,2	1,2	0,51	3,42	Moderate	s	m		Carrasco et al. 2007		
Gracilibacillus saliphilus	B	1,71	2,57	0,17	3,77	Moderate	s	m		Tang et al. 2009		
Aidingimonas halophila	B	0,86	1,71	0,17	4,28	Moderate	s	m		Wang et al. 2009		
Methanohalophilus mahii	B	2	2	0,3	2,5	No Class	s	m	Metanogen	Paterek e Smith 1988	Micro Society	1988
Halomonas marisflavae	B	0,08	2,05	0,08	4,62	No Class	s	m		Yoon et al. 2001	Micro Society	2001
