Species	Domain	Min opt	Max opt	Min sup	Max sup	Classif	NaCl?	Unit	Reference	Year	Genus	Family	Order	Class	Phylum	Kingdom
Haloarcula marina	A	3,4	3,4	2,6	4,8	Extreme	s	m	Ma et al 2023 / Ma et al 2024	2023	Haloarcula	Haloarculaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Haloferax larsenii	A	2,2	3,4	1	4,8	Extreme	s	m	Xu et al 2007	2007	Haloferax	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halosimplex pelagicum	A	3,4	3,4	1,4	4,8	Extreme	s	m	Han and Cui 2014	2014	Halosimplex	Haloarculaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Natronosalvus amylolyticus	A	3,4	3,4	0,9	4,8	No Class	s	m	Tan et al 2023	2023	Natronosalvus	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Salinirussus salinus	A	3,4	3,4	2,6	4,8	No Class	s	m	Cui et al 2017	2017	Salinirussus	Haloarculaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halorubrum aquaticum	A	3,4	3,4	2,5	5	No Class	s	m	Gutiérrez et al 2011	2011	Halorubrum	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halorubrum ejinorense	A	3,4	3,4	2,5	5	No Class	s	m	Castillo et al 2007	2007	Halorubrum	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halorubrum kocurii	A	3,4	3,4	2,5	5	Extreme	s	m	Gutiérrez et al 2008	2008	Halorubrum	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halorubrum orientale	A	3,4	3,4	2,5	5	No Class	s	m	Castillo et al. 2006	2006	Halorubrum	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halostagnicola larsenii	A	3,4	3,4	2,5	5	Extreme	s	m	Quadri et al. 2016 / Castillo et al. 2006	2006	Halostagnicola	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Haloterrigena salina	A	3,4	3,4	2,5	5	Extreme	s	m	Gutiérrez et al 2008	2008	Haloterrigena	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Natronorubrum sediminis	A	3,4	3,4	2,5	5	Extreme	s	m	Gutiérrez et al 2010	2010	Natronorubrum	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Haladaptatus litoreus	A	3,4	3,4	1,7	5,1	Extreme	s	m	Cui et al 2010	2010	Haladaptatus	Halobacteriaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halobellus salinus	A	3,4	3,4	2,6	5,1	No Class	s	m	Cui et al 2012	2012	Halobellus	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Haloferax elongans	A	2,6	3,4	1,7	5,1	Extreme	s	m	Allen et al 2008	2008	Haloferax	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Haloferax mucosum	A	2,6	3,4	1,7	5,1	Extreme	s	m	Allen et al 2008	2008	Haloferax	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halogranum amylolyticum	A	3,4	3,4	1,4	5,1	Extreme	s	m	Cui et al 2011	2011	Halogranum	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Haloparvum sedimenti	A	2,6	3,4	1,7	5,1	Extreme	s	m	Chen et al 2016	2016	Haloparvum	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halorubrum pallidum	A	3,4	3,4	2,6	5,1	Extreme	s	m	Chen et al 2016	2016	Halorubrum	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halorubrum yunnanense	A	3,4	3,4	1,7	5,1	No Class	s	m	Chen et al 2015	2015	Halorubrum	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halovivax cerinus	A	3,4	3,4	2,5	5,1	Extreme	s	m	Amoozegar et al 2015	2015	Halovivax	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Natribaculum longum	A	3,4	3,4	0,9	5,1	Extreme	s	m	Liu et al 2015	2015	Natribaculum	Halobacteriaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Natrinema gari 	A	2,6	3,4	1,7	5,1	Extreme	s	m	Tapingkae et al 2008	2008	Natrinema	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Natrinema saccharevitans	A	3	3,4	1,71	5,1	Extreme	s	m	Xu et al 2005 / de la Haba et al 2022	2005	Natrinema	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Salinigranum marinum	A	3,4	3,4	1,4	5,1	No Class	s	m	Cheng et al 2023	2023	Salinigranum	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halalkalicoccus tibetensis	A	3,4	3,4	1,4	5,2	Extreme	s	m	Xue et al 2005	2005	Halalkalicoccus	Halalkalicoccaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halorubrum gandharaense	A	3,2	3,4	3	5,2	No Class	s	m	Kondo et al 2015	2015	Halorubrum	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halorubrum tibetense	A	3	3,4	1,7	5,2	No Class	s	m	Fan et al 2004	2004	Halorubrum	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halorubrum xinjiangense	A	3,1	3,4	2	5,2	No Class	s	m	Feng et al. 2004	2004	Halorubrum	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halovivax ruber	A	3,4	3,4	2,5	5,2	Extreme	s	m	Castillo et al 2007	2007	Halovivax	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Limimonas halophila	B	3,4	3,4	2,5	5,2	Extreme	s	m	Amoozegar et al 2013	2013	Limimonas	Rhodovibrionaceae	Rhodospirillales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Natrinema longum	A	3,1	3,4	1,7	5,2	Extreme	s	m	Cui et al. 2006 / de la Haba 2022 / Castillo et al 2006	2006	Natrinema	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halolamina salina	A	3,4	3,4	1,9	5,4	Extreme	s	m	Zhang et al 2013	2013	Halolamina	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Natrinema salifodinae	A	2,9	3,4	1,9	5,4	Extreme	s	m	Zhang et al 2013 / de la Haba et al 2022	2013	Natrinema	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halobiforma haloterrestris	A	3,4	3,4	2,2	6,5	Extreme	s	m	Hezayen et al. 2002	2002	Halobiforma	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Haloterrigena turkmenica	A	3,4	3,4	2		No Class	s	m	Bowers e Wiegel 2011 / Ventosa et al 1999	1999	Haloterrigena	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Natronococcus arnylolyticus	A	2,568	3,425	1,369	5,137	Extreme	s	m	Haruhiko et al. 1995	1995	Natronococcus	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Natrinema thermotolerans	A	3	3,5	2	4,3	Extreme	s	m	Montalvo-Rodríguez et al. 2000 / la Haba et al 2022	2000	Natrinema	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halomicrobium mukohataei	A	3	3,5	2,5	4,5	Extreme	s	m	Ihara et al 1997 / Oren et al 2002 / Kharroub et al 2008	1997	Halomicrobium	Haloarculaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Natronoarchaeum persicum	A	3,5	3,5	2,5	4,5	No Class	s	m	Naghoni et al 2017	2017	Natronoarchaeum	Natronoarchaeaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Natronolimnohabitans innermongolicus	A	3,5	3,5	2,5	4,5	Extreme	s	m	Sorokin et al 2020	2020	Natronolimnohabitans	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Haloarchaeobius iranensis	A	3,5	3,5	2	5	Extreme	s	p	Makhdoumi-Kakhki et al 2012	2012	Haloarchaeobius	Halobacteriaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halopenitus malekzadehii	A	3,5	3,5	1,7	5	Extreme	s	m	Amoozegar et al 2013	2013	Halopenitus	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halobacterium jilantaiense	A	3,1	3,5	2,7	5,2	No Class	s	m	Yang et al. 2006	2006	Halobacterium	Halobacteriaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Haloferax prahovense	A	3,5	3,5	2,5	5,2	Extreme	s	m	Bowers e Wiegel 2011 / Enache et al 2007	2007	Haloferax	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Natronomonas pharaonis	A	3,5	3,5	2	5,2	No Class	s	m	Kamekura et al 1997	1997	Natronomonas	Halobacteriaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halopelagius longus	A	3	3,5	1,8	6	Extreme	s	m	Zhang et al 2013	2013	Halopelagius	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Natronobacterium nitratireducens	A	3,5	3,5	2,5	6	No Class	s	m	Xin et al 2001 / Hezayen et al 2002	2001	Natronobacterium	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Natrialba taiwanensis	A	3,5	3,5	2	6,16	Extreme	s	m	Hezayen et al. 2001	2001	Natrialba	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Pacificoceanicola onchidii	B	2,5	3,5	0,5	6,5	Slight	s	p	Yang et al 2023	2023	Pacificoceanicola	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Jeotgalibacillus marinus	B	1	3,5	0	7	Moderate	s	p	Ruger and Richter 1979 / Yoon et al 2010	1979	Jeotgalibacillus	Caryophanaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Kordiimonas aestuarii	B	2	3,5	1	9	Slight	s	p	Math et al 2012	2012	Kordiimonas	Temperatibacteraceae	Kordiimonadales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Enterovibrio calviensis	B	2,5	3,5	1,5	12	No Class	s	p	Denner et al. 2002 / Pascual et al 2009	2002	Enterovibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Arcobacter halophilus	B	3,5	3,5	0,5	13,5	No Class	s	p	Donachie et al. 2005	2005	Arcobacter	Arcobacteraceae	Campylobacterales	Epsilonproteobacteria	Pseudomonadota	Pseudomonadati
Virgibacillus oceani	B	3,5	3,5	0,5	18	Moderate	s	p	Yin et al 2015	2015	Virgibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Haloarcula mannanilytica	A	3,6	3,6	1,5	4,6	No Class	s	m	Enomoto et al 2020	2020	Haloarcula	Haloarculaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Marinilactibacillus psychrotolerans	B	2	3,75	0	20,5	No Class	s	p	Ishikawa et al.2003	2003	Marinilactibacillus	Carnobacteriaceae	Lactobacillales	Bacilli	Bacillota	Bacillati
Haloarcula quadrata	A	3,9	3,9	2,7	4,3	No Class	s	m	Oren et al. 1999/Bowers e Wiegel 2011	1999	Haloarcula	Haloarculaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halogranum rubrum	A	3,9	3,9	2,6	4,3	Extreme	s	m	Cui et al 2010	2010	Halogranum	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Haladaptatus halobius	A	3,9	3,9	1,7	4,8	Extreme	s	m	Xin et al 2022	2022	Haladaptatus	Halobacteriaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halobacterium litoreum	A	3,9	3,9	1,7	4,8	No Class	s	m	Lü et al 2017	2017	Halobacterium	Halobacteriaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halobaculum halophilum	A	3,9	3,9	1,7	4,8	No Class	s	m	Cui et al 2022	2021	Halobaculum	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halopelagius inordinatus	A	3,,4	3,9	2,6	4,8	Extreme	s	m	Cui et al 2010	2010	Halopelagius	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Natrinema salinisoli	A	3,9	3,9	1,7	4,8	Extreme	s	m	Bao et al 2022	2022	Natrinema	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Natronosalvus halobius	A	3,9	3,9	0,9	4,8	No Class	s	m	Tan et al 2023	2023	Natronosalvus	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Haloarcula marismortui	A	3,4	3,9	1,7	5,1	Extreme	s	m	Mylvaganam e Denis 1992 / Oren et al. 1990 / Bowers e Wiegel 2011	1990	Haloarcula	Haloarculaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halobellus limi	A	2,6	3,9	1,4	5,1	No Class	s	m	Cui et al 2012	2012	Halobellus	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halogeometricum limi	A	3,9	3,9	2,1	5,1	No Class	s	m	Cui et al 2010 / Qiu et al 2013	2010	Halogeometricum	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halogeometricum rufum	A	3,9	3,9	2,1	5,1	No Class	s	m	Cui et al 2010	2010	Halogeometricum	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halogranum gelatinilyticum	A	3,4	3,9	1,7	5,1	Extreme	s	m	Cui et al 2011	2011	Halogranum	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halolamina pelagica	A	3,4	3,9	1,4	5,1	Extreme	s	m	Cui et al 2011	2011	Halolamina	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Haloterrigena alkaliphila	A	3,9	3,9	1,4	5,1	Extreme	s	m	Bao et al 2022	2022	Haloterrigena	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Natronosalvus caseinilyticus	A	3,9	3,9	1,4	5,1	No Class	s	m	Tan et al 2023	2023	Natronosalvus	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halolamina salifodinae	A	3,4	3,9	1,6	5,4	Extreme	s	m	Zhang et al 2013	2013	Halolamina	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Amorphus coralli	B	3	4	0	4	Tolerant	s	p	Yosef et al 2008	2008	Amorphus	Acuticoccaceae	Hyphomicrobiales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Natrinema soli	A	4	4	3	4,5	Extreme	s	m	Rasooli et al 2017	2017	Natrinema	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halalkaliarchaeum desulfuricum	A	4	4	2,5	5	Extreme	Na+	m	Sorokin et al 2019	2019	Halalkaliarchaeum	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halanaeroarchaeum sulfurireducens	A	4	4	3	5	Extreme	s	m	Sorokin et al 2016	2016	Halanaeroarchaeum	Halobacteriaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halococcoides cellulosivorans	A	3,5	4	2,5	5	Extreme	s	m	Sorokin et al 2019	2019	Halococcoides	Haloarculaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halomicrobium urmianum	A	4	4	2,5	5	Extreme	s	m	Mehrshad et al 2016 / Xin et al 2022	2016	Halomicrobium	Haloarculaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halovenus aranensis	A	4	4	2,5	5	Extreme	s	m	Makhdoumi-Kakhki et al 2012	2012	Halovenus	Halobacteriaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Hasllibacter halocynthiae	B	4	4	1	5	No Class	s	p	Kim et al 2012	2012	Hasllibacter	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Natrarchaeobaculum sulfurireducens	A	3,5	4	2,5	5	Extreme	Na+	m	Sorokin et al 2019 / Sorokin et al 2020	2019	Natrarchaeobaculum	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Natribaculum luteum	A	4	4	2,5	5	Extreme	s	m	Mehrshad et al 2015 / Sun et al 2022	2015	Natribaculum	Halobacteriaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Halovenus carboxidivorans	A	4	4	3	5,4	Extreme	s	m	Myers and King 2020	2020	Halovenus	Halobacteriaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Chryseobacterium solincola	B	4	4	0	6	Tolerant	s	p	Benmalek et al 2010	2010	Chryseobacterium	Weeksellaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	Pseudomonadati
Maribacter pelagius	B	2	4	2	6	Slight	s	p	Jin et al 2017	2017	Maribacter	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	Pseudomonadati
Photobacterium arenosum	B	0	4	0	6	No Class	s	p	Weerawongwiwat et al 2021	2021	Photobacterium	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Roseovarius lutimaris	B	2	4	1	6	Moderate	s	p	Choi et al 2013	2013	Roseovarius	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Natrialba asiatica	A	4	4	2	6,16	Extreme	s	m	Hezayen et al. 2001	2001	Natrialba	Natrialbaceae	Halobacteriales	Halobacteria	Methanobacteriota	Methanobacteriati
Corallomonas stylophorae	B	3	4	0,5	7	No Class	s	p	Chen et al. 2013	2013	Corallomonas	Oceanospirillaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Gynuella sunshinyii	B	1	4	1	7	Moderate	s	p	Chung et al 2015	2015	Gynuella	Gynuellaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Nocardiopsis nanhaiensis	B	1	4	0	7	Moderate	s	p	Pan et al 2015	2015	Nocardiopsis	Nocardiopsidaceae	Streptosporangiales	Actinomycetes	Actinomycetota	Bacillati
Parvicella tangerina	B	3	4	1	7	Slight	Sais Marinhos	p	Lucena et al 2022	2022	Parvicella	Parvicellaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	Pseudomonadati
Thiorhodococcus fuscus	B	2	4	0,5	7	Moderate	s	p	Lakshmi et al 2015	2015	Thiorhodococcus	Chromatiaceae	Chromatiales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Vibrio aerogenes	B	4	4	1	7	Slight	s	p	Shieh et al 2000	2000	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Zooshikella ganghwensis	B	3	4	1	7	No Class	s	p	Yi et al 2003	2003	Zooshikella	Zooshikellaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Flagellimonas taeanensis	B	2	4	1	8	Moderate	s	p	Kim et al 2013 / Molinari Novoa et al 2024	2013	Flagellimonas	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	Pseudomonadati
Glaciecola amylolytica	B	4	4	1	8	Slight	s	p	Xiao et al 2019	2019	Glaciecola	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Pseudogracilibacillus endophyticus	B	4	4	0	8	Moderate	s	p	Park et al 2018	2018	Pseudogracilibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Rhodovulum aestuarii	B	2	4	0	8	Moderate	s	p	Divyasree et al 2016	2016	Rhodovulum	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Roseithermus sacchariphilus	B	2	4	0,5	8	No Class	s	p	Park et al 2019	2019	Roseithermus	Rhodothermaceae	Rhodothermales	Rhodothermia	Rhodothermota	Pseudomonadati
Thalassomonas ganghwensis	B	2	4	1	8	No Class	Sea salts	p	Yi et al. 2004	2004	Thalassomonas	Colwelliaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Pararhodobacter oceanensis	B	2	4	0,5	9	Moderate	s	p	Wang et al 2019	2019	Pararhodobacter	Paracoccaceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Amorphus suaedae	B	2	4	0	10	Slight	s	p	Hwang et al 2013	2013	Amorphus	Acuticoccaceae	Hyphomicrobiales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Clostridium aestuarii	B	4	4	1	10	No Class	Sea salts	p	Kim et al 2007	2007	Clostridium	Clostridiaceae	Eubacteriales	Clostridia	Bacillota	Bacillati
Lolliginicoccus lacisalsi	B	0	4	0	10	Tolerant	s	p	Yang et al 2021 / Miyanishi et al 2023	2021	Lolliginicoccus	Nocardiaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacillati
Lutimaribacter pacificus	B	1	4	0,5	10	Moderate	s	p	Yuan et al 2009 / Iwaki et al 2013	2009	Lutimaribacter	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Methylophaga alcalica	B	3	4	0,05	10	Moderate	s	p	Doronina et al. 2003	2003	Methylophaga	Piscirickettsiaceae	Beggiatoales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Microbulbifer maritimus	B	2	4	0,5	10	Slight	s	p	Yoon et al. 2004	2004	Microbulbifer	Microbulbiferaceae	Cellvibrionales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Mongoliicoccus roseus	B	3	4	0	10	Tolerant	s	p	Liu et al 2012	2012	Mongoliicoccus	Cyclobacteriaceae	Cytophagales	Cytophagia	Bacteroidota	Pseudomonadati
Ornithinibacillus bavariensis	B	0,5	4	0	10	Tolerant	s	p	Mayr et al 2006	2006	Ornithinibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Salinimicrobium catena	B	1	4	0,1	10	Moderate	s	p	Ying et al 2007 / Lim et al 2008	2007	Salinimicrobium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	Pseudomonadati
Salipaludibacillus neizhouensis	B	2	4	0,5	10	Slight	Total salts	p	Chen et al 2009 / Sultanpuram and Mothe 2016	2009	Salipaludibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Tagaea marina	B	2	4	1	10	No Class	s	p	Jean et al 2016	2016	Tagaea	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Christiangramia aestuarii	B	2	4	1	11	Tolerant	s	p	Jeong et al 2013 / Deshmukh and Oren 2023	2013	Christiangramia	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	Pseudomonadati
Pseudidiomarina taiwanensis	B	1	4	0,5	11	No Class	s	p	Jean et al 2006	2006	Pseudidiomarina	Idiomarinaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Salipiger aestuarii	B	2	4	1	11	Moderate	s	p	Park et al 2011 / Wirth and Whitman 2018	2011	Salipiger	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Demequina aestuarii	B	2	4	0	12	Slight	s	p	Yi et al 2007	2007	Demequina	Demequinaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacillati
Psychrobacter coccoides	B	3	4	0,5	12	Slight	s	p	Shang et al 2022	2022	Psychrobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Psychromarinibacter halotolerans	B	4	4	1	12	Tolerant	s	p	Qiao et al 2017	2017	Psychromarinibacter	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Alteromonas simiduii	B	2	4	0,5	13	No Class	s	p	Chiu et al 2007	2007	Alteromonas	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Profundirhabdus halotolerans	B	4	4	0	13	No Class	s	p	Liu et al 2023	2023	Profundirhabdus	Nitriliruptoraceae	Nitriliruptorales	Nitriliruptoria	Actinomycetota	Bacillati
Alteromonas tagae	B	2	4	0	14	No Class	s	p	Chiu et al 2007	2007	Alteromonas	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Oceanobacillus pacificus	B	4	4	0	14	Moderate	s	p	Yu et al 2014	2014	Oceanobacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Ornithinicoccus halotolerans	B	2	4	0	14	Tolerant	s	p	Zhang et al 2016	2016	Ornithinicoccus	Intrasporangiaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacillati
Alteromonas alterisediminis	B	3	4	2	15	Slight	s	p	Cao et al 2018 / Gago et al 2021	2018	Alteromonas	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Halomonas songnenensis	B	4	4	0,2	15	Moderate	s	p	Jiang et al 2014	2014	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Mesonia oceanica	B	2	4	1	15	Slight	s	p	Lucena et al 2020	2020	Mesonia	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	Pseudomonadati
Microbulbifer flavimaris	B	2	4	0,5	15	No Class	s	p	Xiong et al 2019	2019	Microbulbifer	Microbulbiferaceae	Cellvibrionales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
