Species	Domain	Min opt	Max opt	Min sup	Max sup	Classif	NaCl?	Unit	Reference	Year	Genus	Family	Order	Class	Phylum	Kingdom
Halomonas titanicae	B	2	8	0,5	25	Moderate	s	p	Sánchesz-Porro et al 2010	2010	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Longimonas halophila	B	6	8	4	25	No Class	s	p	Xia et al 2015	2015	Longimonas	Salisaetaceae	Rhodothermales	Rhodothermia	Rhodothermota	Pseudomonadati
Salinicoccus amylolyticus	B	8	8	0	25	Moderate	s	p	Srinivas et al 2016	2016	Salinicoccus	Staphylococcaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Halomonas xianhensis	B	5	8	0,05	27,5	Moderate	Total salts	p	Zhao et al 2012	2012	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Alkalilimnicola halodurans	B	3	8	0	28	Moderate	s	p	Yakimov et al. 2001	2001	Alkalilimnicola	Ectothiorhodospiraceae	Chromatiales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Halomonas elongata	B	3,5	8	0	32	Extreme	s	p	Vreeland et al 1980	1980	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Halomonas urumqiensis	B	8,3	8,3	1,3	25,3	Moderate	s	p	Zhang et  al 2016	2016	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Fuchsiella alkaliacetigena	B	7	8,5	0	14	Tolerant	s	p	Zhilina et al 2012	2012	Fuchsiella	Halobacteroidaceae	Halanaerobiales	Clostridia	Bacillota	Bacillati
Mangrovivirga cuniculi	B	7	9	3	11	Moderate	s	p	Sefrji et al 2021	2021	Mangrovivirga	Mangrovivirgaceae	Cytophagales	Cytophagia	Bacteroidota	Pseudomonadati
Rhodovulum mangrovi	B	1	9	0	12	No Class	s	p	Nupur et al 2014	2014	Rhodovulum	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Maritalea mediterranea	B	0,5	9	0	12,5	No Class	s	p	Vidal-Verdú et al 2023	2023	Maritalea	Devosiaceae	Hyphomicrobiales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Gracilimonas mengyeensis	B	5	9	2	15	Moderate	s	p	Wang et al 2013	2013	Gracilimonas	Balneolaceae	Balneolales	Balneolia	Balneolota	Pseudomonadati
Marivirga aurantiaca	B	7,5	9	2	15	No Class	s	p	Zhang et al 2023	2023	Marivirga	Marivirgaceae	Cytophagales	Cytophagia	Bacteroidota	Pseudomonadati
Vibrio zhugei	B	4	9	1	17	Moderate	s	p	Guo et al 2019	2019	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Halalkalibacillus sediminis	B	6	9	0	22	Moderate	s	p	He et al 2020	2020	Halalkalibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Halanaerobium salsuginis	B	9	9	6	24	Moderate	s	p	Bhupathiraju et al 1994	1994	Halanaerobium	Halanaerobiaceae	Halanaerobiales	Clostridia	Bacillota	Bacillati
